build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,use_mmap,use_direct_io,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"60130d18f","9478","Intel(R) Core(TM) i9-14900HX","","CPU","D:\Course_Repositories\operating-sys\9P-Walkers\Lab4\llama.cpp\models\qwen2.5-7b-instruct-q4_k_m.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","8","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","512","0","0","2026-06-02T16:16:53Z","7901529940","52397940","64.799857","0.429656"
"60130d18f","9478","Intel(R) Core(TM) i9-14900HX","","CPU","D:\Course_Repositories\operating-sys\9P-Walkers\Lab4\llama.cpp\models\qwen2.5-7b-instruct-q4_k_m.gguf","qwen2 7B Q4_K - Medium","4677120000","7615616512","2048","512","8","0x0","0","50","f16","f16","-1","0","layer","0","0","-1","auto","0.00","none","1","0","0","0","0","0","0","0","128","0","2026-06-02T16:17:40Z","9884751060","155704071","12.951819","0.204775"
