"量化","体积GiB","峰值内存MB","吞吐表"
"q4_k_m","4.36","14394.3","28_q4_k_m_bench_20260605_115537.md"
"q5_k_m","5.07","12080.2","28_q5_k_m_bench_20260605_115537.md"
"q8_0","7.54","14414.7","28_q8_0_bench_20260605_115537.md"
